time,ticker,price,action,stop_price,take_profit,spot_price,quantity
2025-04-16 09:43:13.647924+05:30,NSE:NIFTY2541723350CE,71.2,BUY,23328.05,23388.05,23358.05,60
2025-04-16 10:17:49.827325+05:30,NSE:NIFTY2541723350CE,46.75,SELL,0.0,0.0,23323.2,0
2025-04-16 12:42:13.801754+05:30,NSE:NIFTY2541723350CE,62.65,BUY,23328.2,23388.2,23358.2,60
2025-04-16 13:20:50.541044+05:30,NSE:NIFTY2541723350CE,48.35,SELL,0.0,0.0,23322.2,0
2025-04-16 13:57:50.656819+05:30,NSE:NIFTY2541723350CE,67.42,BUY,23329.5,23389.5,23359.5,60
2025-04-16 14:00:14.944321+05:30,NSE:NIFTY2541723350CE,93.22,SELL,23359.5,0.0,23391.2,30
2025-04-16 14:00:26.436195+05:30,NSE:NIFTY2541723350CE,98.03,TRAIL,23367.55,0.0,23397.55,30
2025-04-16 14:00:51.007581+05:30,NSE:NIFTY2541723350CE,104.33,TRAIL,23375.45,0.0,23405.45,30
2025-04-16 14:01:14.120617+05:30,NSE:NIFTY2541723350CE,111.17,TRAIL,23384.45,0.0,23414.45,30
2025-04-16 14:02:14.026681+05:30,NSE:NIFTY2541723350CE,114.12,TRAIL,23389.7,0.0,23419.7,30
2025-04-16 14:12:50.726801+05:30,NSE:NIFTY2541723350CE,116.9,TRAIL,23393.5,0.0,23423.5,30
2025-04-16 14:14:38.091398+05:30,NSE:NIFTY2541723350CE,120.47,TRAIL,23398.15,0.0,23428.15,30
2025-04-16 14:36:14.223714+05:30,NSE:NIFTY2541723350CE,92.97,SELL,0.0,0.0,23396.4,0
2025-04-16 14:53:50.082045+05:30,NSE:NIFTY2541723450CE,61.67,BUY,23398.65,23458.65,23428.65,60
